"participant" "timestamp" "task"
9 183.73 "listening"
9 186.5297 "listening"
9 188.9463 "listening"
9 220.2106 "listening"
9 224.5103 "listening"
9 226.9101 "listening"
9 229.5266 "listening"
9 232.8929 "listening"
9 234.1262 "listening"
9 237.3093 "listening"
9 241.1091 "listening"
9 242.5089 "listening"
9 245.5253 "listening"
9 249.6084 "listening"
9 255.1485 "listening"
10 2.0094 "listening"
10 8.7255 "listening"
10 15.6751 "listening"
10 21.1746 "listening"
10 27.4575 "listening"
10 35.3237 "listening"
10 41.1566 "listening"
10 66.9547 "listening"
10 70.8877 "listening"
10 79.8205 "listening"
10 83.3702 "listening"
10 87.6199 "listening"
10 100.1023 "listening"
10 103.802 "listening"
10 107.2017 "listening"
10 111.918 "listening"
10 124.6005 "listening"
10 129.2668 "listening"
10 140.1328 "listening"
10 156.4316 "listening"
10 159.6146 "listening"
10 166.0808 "listening"
10 170.4971 "listening"
10 172.4804 "listening"
10 176.6468 "listening"
10 183.1296 "listening"
10 189.8791 "listening"
10 193.3623 "listening"
10 200.745 "listening"
10 206.3113 "listening"
10 215.1939 "listening"
10 219.7936 "listening"
10 223.46 "listening"
10 228.3097 "listening"
10 230.1762 "listening"
10 239.5256 "listening"
10 242.9587 "listening"
10 247.925 "listening"
10 252.9079 "listening"
10 256.2244 "listening"
11 0.5349 "listening"
11 1.5348 "listening"
11 3.0347 "listening"
11 7.0343 "listening"
11 9.9841 "listening"
11 11.9006 "listening"
11 13.0006 "listening"
11 14.7337 "listening"
11 15.9169 "listening"
11 17.9501 "listening"
11 19.7666 "listening"
11 20.9165 "listening"
11 21.8165 "listening"
11 22.7997 "listening"
11 24.3329 "listening"
11 26.5994 "listening"
11 27.7327 "listening"
11 28.3493 "listening"
11 29.3325 "listening"
11 30.5158 "listening"
11 32.199 "listening"
11 33.9988 "listening"
11 38.5818 "listening"
11 40.1984 "listening"
11 41.2316 "listening"
11 44.3647 "listening"
11 47.2311 "listening"
11 50.7641 "listening"
11 51.8474 "listening"
11 53.114 "listening"
11 55.0472 "listening"
11 58.8968 "listening"
11 59.9634 "listening"
11 61.8966 "listening"
11 64.6797 "listening"
11 68.2294 "listening"
11 68.946 "listening"
11 74.3956 "listening"
11 77.6458 "listening"
11 80.995 "listening"
11 85.0615 "listening"
